component_id,lot_id,timestamp_h,iddq_uA,leakage_uA,prop_delay_ns,defective
C02010,L02,96,16.056,20.269,7.604,0
C02010,L02,168,20.47,26.889,9.172,0
C02011,L02,0,10.424,11.367,5.469,0
C02011,L02,24,12.603,14.341,6.049,0
C02011,L02,96,19.672,23.296,7.685,0
C02011,L02,168,26.66,32.016,9.354,0
C02012,L02,0,10.427,11.481,5.458,0
C02012,L02,24,12.89,13.283,6.127,0
C02012,L02,96,20.606,18.657,8.163,0
C02012,L02,168,27.99,24.241,10.224,0
C02013,L02,0,10.137,11.351,5.489,0
C02013,L02,24,11.5,14.142,5.669,0
C02013,L02,96,14.614,22.539,6.291,0
C02013,L02,168,18.005,31.002,6.922,0
C02014,L02,0,10.504,11.317,5.439,0
C02014,L02,24,11.595,12.744,6.152,0
C02014,L02,96,14.794,16.97,8.167,0
C02014,L02,168,18.192,21.073,10.194,0
C02015,L02,0,10.249,11.445,5.445,0
C02015,L02,24,11.618,15.0,5.601,0
C02015,L02,96,14.848,26.516,6.097,0
C02015,L02,168,18.426,37.954,6.571,0
C02016,L02,0,10.427,11.425,5.461,0
C02016,L02,24,11.275,13.58,5.935,0
C02016,L02,96,13.858,19.428,7.373,0
C02016,L02,168,16.414,25.487,8.839,0
C02017,L02,0,10.446,11.453,5.45,0
C02017,L02,24,13.124,14.329,5.702,0
C02017,L02,96,21.468,22.951,6.445,0
C02017,L02,168,29.919,31.643,7.16,0
C02018,L02,0,10.403,11.201,5.435,0
C02018,L02,24,12.488,13.696,6.092,0
C02018,L02,96,19.082,20.849,7.956,0
C02018,L02,168,25.352,28.235,9.838,0
C02019,L02,0,10.34,11.262,5.433,0
C02019,L02,24,11.733,14.581,6.086,0
C02019,L02,96,15.965,24.165,7.947,0
C02019,L02,168,20.077,34.094,9.794,0
C02020,L02,0,10.41,11.259,5.461,0
C02020,L02,24,12.835,15.268,6.1,0
C02020,L02,96,20.586,26.749,8.11,0
C02020,L02,168,28.24,38.397,10.127,0
C03001,L03,0,10.786,11.349,4.768,0
C03001,L03,24,11.643,13.781,5.43,0
C03001,L03,96,13.87,19.986,7.327,0
C03001,L03,168,16.52,26.356,9.235,0
C03002,L03,0,10.841,11.446,4.799,0
C03002,L03,24,12.223,14.668,5.359,0
C03002,L03,96,16.919,24.145,7.156,0
C03002,L03,168,21.563,33.868,8.854,0
C03003,L03,0,10.691,11.53,4.8,0
C03003,L03,24,11.776,12.312,5.168,0
C03003,L03,96,15.587,14.951,6.285,0
C03003,L03,168,19.189,17.64,7.433,0
C03004,L03,0,10.62,11.327,4.817,0
C03004,L03,24,13.185,14.391,5.303,0
C03004,L03,96,20.63,22.492,6.785,0
C03004,L03,168,28.091,30.91,8.241,0
C03005,L03,0,10.638,11.496,4.827,0
C03005,L03,24,13.287,15.193,5.379,0
C03005,L03,96,21.247,26.688,7.048,0
C03005,L03,168,29.142,37.934,8.755,0
C03006,L03,0,10.766,11.413,4.789,0
C03006,L03,24,11.592,13.838,5.203,0
C03006,L03,96,14.283,20.764,6.453,0
C03006,L03,168,17.167,27.683,7.705,0
C03007,L03,0,10.579,11.307,4.815,0
C03007,L03,24,13.407,12.178,5.211,0
C03007,L03,96,21.8,14.559,6.415,0
C03007,L03,168,29.912,17.34,7.667,0
C03008,L03,0,10.712,11.437,4.813,0
C03008,L03,24,13.576,12.438,5.188,0
C03008,L03,96,22.396,15.429,6.304,0
C03008,L03,168,30.897,18.394,7.489,0
C03009,L03,0,10.751,11.576,4.812,0
C03009,L03,24,12.777,14.981,4.923,0
C03009,L03,96,19.172,25.831,5.307,0
C03009,L03,168,25.728,36.863,5.617,0
C03010,L03,0,10.777,11.483,4.816,0
C03010,L03,24,12.231,14.914,5.239,0
C03010,L03,96,16.695,25.206,6.632,0
C03010,L03,168,21.332,35.753,8.056,0
C03011,L03,0,10.681,11.328,4.804,1
C03011,L03,24,20.35,28.04,5.369,1
C03011,L03,96,49.398,77.309,7.01,1
C03011,L03,168,78.421,126.595,8.661,1
C03012,L03,0,10.708,11.29,4.803,0
C03012,L03,24,11.642,14.298,5.105,0
C03012,L03,96,14.221,22.488,5.929,0
C03012,L03,168,16.901,30.928,6.821,0
C03013,L03,0,10.651,11.45,4.801,0
C03013,L03,24,12.707,14.773,5.479,0
C03013,L03,96,18.931,24.739,7.528,0
C03013,L03,168,25.229,34.696,9.563,0
C03014,L03,0,10.702,11.34,4.773,0
C03014,L03,24,11.708,12.915,5.416,0
C03014,L03,96,15.388,17.45,7.207,0
C03014,L03,168,18.97,21.918,9.061,0
C03015,L03,0,10.651,11.547,4.832,0
C03015,L03,24,13.503,15.258,5.38,0
C03015,L03,96,22.231,26.117,7.108,0
C03015,L03,168,30.68,37.398,8.845,0
C03016,L03,0,10.637,11.505,4.805,0
C03016,L03,24,12.411,14.238,5.464,0
C03016,L03,96,17.56,22.496,7.433,0
C03016,L03,168,22.584,30.949,9.386,0
C03017,L03,0,10.569,11.4,4.796,0
C03017,L03,24,13.473,13.194,5.021,0
C03017,L03,96,21.937,18.393,5.703,0
C03017,L03,168,30.124,23.603,6.424,0
C03018,L03,0,10.752,11.344,4.787,0
C03018,L03,24,13.122,15.165,5.458,0
C03018,L03,96,20.772,26.071,7.32,0
C03018,L03,168,28.337,37.356,9.244,0
C03019,L03,0,10.554,11.464,4.806,1
C03019,L03,24,17.094,19.764,6.76,1
C03019,L03,96,36.559,44.232,12.646,1
C03019,L03,168,55.687,68.777,18.549,1
C03020,L03,0,10.756,11.525,4.826,0
C03020,L03,24,12.441,13.846,5.033,0
C03020,L03,96,17.541,20.58,5.833,0
C03020,L03,168,22.688,27.55,6.63,0
C04001,L04,0,10.486,10.171,5.243,0
C04001,L04,24,11.289,13.652,5.677,0
C04001,L04,96,14.53,24.216,6.962,0
C04001,L04,168,17.579,34.834,8.238,0
C04002,L04,0,10.385,9.854,5.209,0
C04002,L04,24,12.325,11.462,5.964,0
C04002,L04,96,18.037,15.367,8.214,0
C04002,L04,168,24.079,19.09,10.467,0
C04003,L04,0,10.345,10.143,5.214,0
C04003,L04,24,11.553,13.517,5.649,0
C04003,L04,96,15.235,23.843,6.836,0
C04003,L04,168,18.909,34.205,8.025,0
C04004,L04,0,10.241,10.182,5.242,0
C04004,L04,24,12.601,12.243,5.786,0
C04004,L04,96,19.862,18.509,7.374,0
C04004,L04,168,26.968,24.668,9.009,0
C04005,L04,0,10.459,10.137,5.24,0
C04005,L04,24,11.837,13.655,5.592,0
C04005,L04,96,16.108,24.139,6.647,0
C04005,L04,168,20.275,34.692,7.725,0
C04006,L04,0,10.415,10.177,5.216,0
C04006,L04,24,11.42,12.787,5.747,0
C04006,L04,96,14.073,20.789,7.385,0
C04006,L04,168,16.987,28.886,9.006,0
C04007,L04,0,10.403,9.978,5.229,0
C04007,L04,24,12.434,13.54,5.487,0
C04007,L04,96,19.456,23.804,6.249,0
C04007,L04,168,26.096,33.919,6.997,0
C04008,L04,0,10.432,10.202,5.236,1
C04008,L04,24,25.99,26.389,6.564,1
C04008,L04,96,73.184,75.315,10.589,1
C04008,L04,168,120.131,124.308,14.596,1
C04009,L04,0,10.366,10.179,5.236,0
C04009,L04,24,12.21,12.198,5.533,0
C04009,L04,96,17.599,18.494,6.331,0
C04009,L04,168,23.092,24.511,7.177,0
C04010,L04,0,10.265,10.128,5.211,0
C04010,L04,24,12.903,11.299,5.866,0
C04010,L04,96,21.068,14.638,7.704,0
C04010,L04,168,28.73,18.077,9.525,0
C04011,L04,0,10.242,10.023,5.244,0
C04011,L04,24,11.683,13.415,5.777,0
C04011,L04,96,15.821,23.425,7.394,0
C04011,L04,168,19.908,33.486,9.039,0
C04012,L04,0,10.403,10.194,5.242,0
C04012,L04,24,13.196,11.863,5.63,0
C04012,L04,96,22.01,16.893,6.909,0
C04012,L04,168,30.982,21.75,8.125,0
C04013,L04,0,10.275,10.182,5.235,1
C04013,L04,24,19.313,14.775,7.831,1
C04013,L04,96,46.408,28.877,15.63,1
C04013,L04,168,73.467,42.509,23.415,1
C04014,L04,0,10.341,10.249,5.235,0
C04014,L04,24,12.308,13.264,5.419,0
C04014,L04,96,18.295,22.458,5.94,0
C04014,L04,168,23.966,32.018,6.532,0
C04015,L04,0,10.437,10.161,5.249,0
C04015,L04,24,11.314,11.347,5.481,0
C04015,L04,96,14.114,15.129,6.2,0
C04015,L04,168,16.723,18.753,6.867,0
C04016,L04,0,10.275,10.077,5.271,0
C04016,L04,24,12.711,11.689,5.816,0
C04016,L04,96,19.113,16.295,7.581,0
C04016,L04,168,25.764,21.166,9.321,0
C04017,L04,0,10.388,10.041,5.247,0
C04017,L04,24,12.291,12.054,5.53,0
C04017,L04,96,18.247,17.547,6.423,0
C04017,L04,168,24.408,23.131,7.327,0
C04018,L04,0,10.509,10.303,5.216,0
C04018,L04,24,12.09,13.729,5.382,0
C04018,L04,96,17.489,23.965,5.893,0
C04018,L04,168,23.018,34.344,6.365,0
C04019,L04,0,10.378,10.217,5.227,0
C04019,L04,24,11.892,10.981,5.545,0
C04019,L04,96,16.453,13.57,6.601,0
C04019,L04,168,21.125,16.497,7.685,0
C04020,L04,0,10.282,10.188,5.245,0
C04020,L04,24,12.887,12.459,5.995,0
C04020,L04,96,20.626,19.127,8.224,0
C04020,L04,168,28.414,26.047,10.485,0
C05001,L05,0,9.032,9.29,4.987,0
C05001,L05,24,10.587,10.898,5.335,0
C05001,L05,96,16.159,15.916,6.44,0
C05001,L05,168,21.456,20.619,7.537,0
C05002,L05,0,8.91,9.364,4.995,0
C05002,L05,24,10.324,10.929,5.169,0
C05002,L05,96,14.189,15.941,5.709,0
C05002,L05,168,18.188,21.097,6.252,0
C05003,L05,0,9.078,9.313,4.99,1
C05003,L05,24,20.752,15.151,6.711,1
C05003,L05,96,55.846,33.451,11.991,1
C05003,L05,168,90.803,51.566,17.262,1
C05004,L05,0,8.917,9.114,4.997,0
C05004,L05,24,10.752,10.55,5.199,0
C05004,L05,96,15.801,14.772,5.858,0
C05004,L05,168,20.937,19.073,6.517,0
C05005,L05,0,9.047,9.062,4.988,0
C05005,L05,24,10.589,12.643,5.467,0
C05005,L05,96,15.921,22.508,6.955,0
C05005,L05,168,21.078,32.377,8.357,0
C05006,L05,0,8.946,9.159,4.997,0
C05006,L05,24,11.004,10.413,5.49,0
C05006,L05,96,16.851,13.765,7.046,0
C05006,L05,168,22.709,17.092,8.639,0
C05007,L05,0,9.001,9.501,4.99,0
C05007,L05,24,11.092,12.593,5.168,0
C05007,L05,96,17.737,22.298,5.701,0
C05007,L05,168,24.429,32.143,6.184,0
C05008,L05,0,8.845,9.313,5.022,0
C05008,L05,24,11.375,10.043,5.666,0
C05008,L05,96,18.474,12.42,7.71,0
C05008,L05,168,25.749,14.669,9.77,0
C05009,L05,0,9.054,9.384,5.008,0
C05009,L05,24,9.837,10.784,5.697,0
C05009,L05,96,12.861,15.016,7.789,0
C05009,L05,168,16.065,19.332,9.881,0
C05010,L05,0,8.923,9.271,4.967,0
C05010,L05,24,11.478,11.937,5.386,0
C05010,L05,96,19.065,19.424,6.62,0
C05010,L05,168,26.724,27.113,7.865,0
C05011,L05,0,8.934,9.33,4.972,0
C05011,L05,24,10.085,12.536,5.241,0
C05011,L05,96,13.077,22.348,6.007,0
C05011,L05,168,16.263,32.279,6.749,0
C05012,L05,0,8.823,9.385,5.014,0
C05012,L05,24,9.914,12.272,5.498,0
C05012,L05,96,13.164,20.523,6.95,0
C05012,L05,168,16.173,28.98,8.444,0
C05013,L05,0,9.022,9.337,5.004,0
C05013,L05,24,10.833,11.678,5.361,0
C05013,L05,96,16.444,19.174,6.513,0
C05013,L05,168,22.26,26.321,7.637,0
C05014,L05,0,8.837,9.399,4.991,0
C05014,L05,24,10.539,11.267,5.176,0
C05014,L05,96,15.196,16.422,5.628,0
C05014,L05,168,19.965,21.85,6.106,0
C05015,L05,0,8.955,9.427,4.999,0
C05015,L05,24,10.497,11.601,5.613,0
C05015,L05,96,14.872,18.86,7.525,0
C05015,L05,168,19.148,25.795,9.402,0
C05016,L05,0,8.947,9.104,4.99,0
C05016,L05,24,11.02,10.471,5.21,0
C05016,L05,96,17.255,13.497,5.955,0
C05016,L05,168,23.585,16.428,6.67,0
C05017,L05,0,8.838,9.311,4.996,0
C05017,L05,24,10.912,10.419,5.318,0
C05017,L05,96,16.914,13.804,6.313,0
C05017,L05,168,23.065,17.151,7.343,0
C05018,L05,0,9.054,9.311,4.99,0
C05018,L05,24,10.499,11.978,5.257,0
C05018,L05,96,15.151,20.745,6.051,0
C05018,L05,168,19.566,29.394,6.812,0
C05019,L05,0,8.847,9.064,4.99,1
C05019,L05,24,13.878,24.829,8.17,1
C05019,L05,96,28.824,71.585,17.603,1
C05019,L05,168,43.613,118.378,27.122,1
C05020,L05,0,8.871,9.344,4.968,0
C05020,L05,24,10.585,12.311,5.174,0
C05020,L05,96,15.861,20.925,5.731,0
C05020,L05,168,21.038,29.604,6.261,0
